City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,goure,13.9835,10.2704,31.92,46,42,4.12,NE,1724003687
229,celestun,20.8667,-90.4,31.02,59,1,3.36,MX,1724003689
230,kailua-kona,19.6406,-155.9956,26.98,87,75,2.06,US,1724003546
231,akureyri,65.6835,-18.0878,6.96,70,75,6.69,IS,1724003691
232,sarangarh,21.6,83.0833,26.15,87,100,1.79,IN,1724003692
233,medicine hat,50.0501,-110.6683,27.34,38,75,5.14,CA,1724003100
234,carnarvon,-24.8667,113.6333,17.75,60,17,4.88,AU,1724003694
235,touros,-5.1989,-35.4608,26.93,66,75,7.56,BR,1724003696
236,todos santos,23.45,-110.2167,28.58,79,22,3.69,MX,1724003697
237,zemio,5.0314,25.1361,19.91,97,100,1.16,CF,1724003698
238,fayetteville,35.0527,-78.8784,31.95,61,0,5.66,US,1724003476
239,ribadeo,43.5325,-7.0991,18.45,79,100,2.31,ES,1724003700
240,st. john's,47.5649,-52.7093,28.49,46,75,9.26,CA,1724003647
241,cedro,-6.6067,-39.0622,35.46,16,48,2.08,BR,1724003704
242,polyarnyy,69.1989,33.4478,11.22,80,66,0.76,RU,1724003705
243,hasaki,35.7333,140.8333,25.59,95,38,1.58,JP,1724003706
244,luz,-19.8014,-45.6856,32.85,15,1,2.95,BR,1724003707
245,villa dolores,-31.9459,-65.1896,19.75,43,96,2.01,AR,1724003708
246,dunedin,-45.8742,170.5036,6.0,51,66,4.02,NZ,1724003710
247,andergrove,-21.0833,149.1833,17.23,90,0,3.62,AU,1724003711
248,uray,60.1247,64.7758,12.31,96,92,2.21,RU,1724003712
249,puerto quijarro,-17.7833,-57.7667,41.09,14,4,2.8,BO,1724003713
250,kingston,17.997,-76.7936,33.53,66,20,4.12,JM,1724003468
251,rio grande,-32.035,-52.0986,15.61,98,100,6.5,BR,1724003715
252,noumea,-22.2763,166.4572,21.81,84,16,3.22,NC,1724003717
253,pangody,65.85,74.4859,12.84,94,89,0.5,RU,1724003718
254,le port,-20.9373,55.2919,21.98,87,18,2.58,RE,1724003719
255,port mathurin,-19.6833,63.4167,22.56,72,33,12.19,MU,1724003720
256,lys'va,58.1086,57.8053,11.99,98,96,1.64,RU,1724003721
257,port sudan,19.6175,37.2164,33.76,56,37,2.92,SD,1724003722
258,heyuan,23.7333,114.6833,25.92,96,99,1.37,CN,1724003725
259,northam,51.0333,-4.2167,17.56,81,5,4.74,GB,1724003726
260,dzhambeyty,50.2536,52.595,24.85,37,100,3.48,KZ,1724003727
261,yeraliyev,43.2,51.65,23.52,38,0,1.39,KZ,1724003728
262,sabang,5.8933,95.3214,27.62,75,100,9.41,ID,1724003729
263,dadukou,26.5479,101.7054,21.71,88,100,1.38,CN,1724003731
264,lihue,21.9789,-159.3672,25.77,80,100,6.17,US,1724003732
265,zliten,32.4674,14.5687,30.22,55,15,5.59,LY,1724003733
266,loch garman,52.3342,-6.4575,17.72,91,57,5.36,IE,1724003630
267,atafu village,-8.5421,-172.5159,28.2,77,55,9.4,TK,1724003735
268,mar del plata,-38.0023,-57.5575,14.01,89,75,4.47,AR,1724003583
269,munsingen,48.4113,9.497,15.29,97,100,4.79,DE,1724003740
270,fort st. john,56.2499,-120.8529,14.94,77,75,2.06,CA,1724003741
271,alesund,62.4723,6.1549,14.31,75,40,8.75,NO,1724003742
272,new norfolk,-42.7826,147.0587,4.4,97,3,1.08,AU,1724003743
273,kaladhungi,29.2833,79.35,25.61,90,98,1.54,IN,1724003745
274,kokopo,-4.352,152.2633,25.37,83,8,2.88,PG,1724003746
275,saipan,15.1355,145.701,28.39,89,75,4.12,MP,1724003747
276,klaksvik,62.2266,-6.589,10.79,80,94,8.74,FO,1724003748
277,quellon,-43.1167,-73.6167,7.61,64,10,5.22,CL,1724003539
278,tabalah,19.95,42.4,36.58,33,44,4.05,SA,1724003751
279,saint-philippe,-21.3585,55.7679,21.45,80,51,8.24,RE,1724003753
280,portland,45.5234,-122.6762,22.81,74,75,2.57,US,1724003434
281,ishigaki,24.3448,124.1572,28.07,89,40,5.14,JP,1724003755
282,gadzhiyevo,69.2551,33.3362,11.06,81,61,0.92,RU,1724003756
283,geraldton,-28.7667,114.6,15.23,63,100,5.66,AU,1724003709
284,linxia chengguanzhen,35.6003,103.2064,15.79,49,12,2.51,CN,1724003759
